"date","away","away_score","home","home_score","point_diff"
2021-11-27,"McMurry",54,"Abilene Christian",89,35
2021-11-29,"Schreiner",47,"Abilene Christian",88,41
2021-12-01,"University of Dallas",65,"Abilene Christian",108,43
2021-12-04,"Incarnate Word",65,"Abilene Christian",98,33
2021-12-11,"Drexel",56,"Abilene Christian",73,17
2021-12-15,"Cal St. Bakersfield",59,"Abilene Christian",69,10
2021-12-19,"Howard Payne",41,"Abilene Christian",112,71
2021-12-22,"Longwood",58,"Abilene Christian",74,16
2022-01-06,"Stephen F. Austin",64,"Abilene Christian",58,-6
2022-01-08,"Sam Houston St.",65,"Abilene Christian",63,-2
2022-01-20,"Seattle",72,"Abilene Christian",62,-10
2022-01-22,"Cal Baptist",68,"Abilene Christian",77,9
2022-02-02,"Chicago St.",73,"Abilene Christian",77,4
2022-02-05,"UT Rio Grande Valley",66,"Abilene Christian",83,17
2021-11-17,"Texas Southern",57,"Air Force",61,4
2021-11-21,"Bethune Cookman",65,"Air Force",73,8
2021-11-24,"Denver",65,"Air Force",66,1
2021-11-27,"Idaho St.",48,"Air Force",59,11
2021-12-04,"Army",58,"Air Force",76,18
2021-12-29,"Utah St.",47,"Air Force",49,2
2022-01-15,"Nevada",75,"Air Force",68,-7
2022-01-20,"UNLV",62,"Air Force",69,7
2022-01-22,"Colorado St.",73,"Air Force",53,-20
2022-01-28,"Wyoming",63,"Air Force",61,-2
2022-02-05,"New Mexico",91,"Air Force",77,-14
2021-11-13,"Point Park",46,"Akron",102,56
2021-11-18,"Wheeling Jesuit",38,"Akron",99,61
2021-11-24,"Evansville",60,"Akron",69,9
2021-12-01,"Marshall",86,"Akron",88,2
2021-12-04,"Southern",62,"Akron",79,17
2021-12-12,"Florida A&M",66,"Akron",73,7
2022-01-01,"Buffalo",76,"Akron",88,12
2022-01-04,"Ohio",69,"Akron",63,-6
2022-01-11,"Ball St.",74,"Akron",84,10
2022-01-18,"Western Michigan",73,"Akron",74,1
2022-01-22,"Eastern Michigan",44,"Akron",46,2
2022-02-04,"Miami OH",55,"Akron",66,11
2022-02-11,"Kent St.",66,"Akron",64,-2
2021-11-09,"Louisiana Tech",64,"Alabama",93,29
2021-11-12,"South Dakota St.",88,"Alabama",104,16
2021-11-16,"South Alabama",68,"Alabama",73,5
2021-11-19,"Oakland",59,"Alabama",86,27
2021-11-28,"Miami FL",64,"Alabama",96,32
2021-12-11,"Houston",82,"Alabama",83,1
2021-12-18,"Jacksonville St.",59,"Alabama",65,6
2021-12-21,"Davidson",79,"Alabama",78,-1
2021-12-29,"Tennessee",68,"Alabama",73,5
2022-01-11,"Auburn",81,"Alabama",77,-4
2022-01-19,"LSU",67,"Alabama",70,3
2022-01-22,"Missouri",76,"Alabama",86,10
2022-01-29,"Baylor",78,"Alabama",87,9
2022-02-05,"Kentucky",66,"Alabama",55,-11
