"date","away","away_score","home","home_score","point_diff"
2022-01-06,"Stephen F. Austin",64,"Abilene Christian",58,-6
2022-01-08,"Sam Houston St.",65,"Abilene Christian",63,-2
2022-01-20,"Seattle",72,"Abilene Christian",62,-10
2022-01-22,"Cal Baptist",68,"Abilene Christian",77,9
2022-02-02,"Chicago St.",73,"Abilene Christian",77,4
2022-02-05,"UT Rio Grande Valley",66,"Abilene Christian",83,17
2022-01-15,"Nevada",75,"Air Force",68,-7
2022-01-20,"UNLV",62,"Air Force",69,7
2022-01-22,"Colorado St.",73,"Air Force",53,-20
2022-01-28,"Wyoming",63,"Air Force",61,-2
2022-02-05,"New Mexico",91,"Air Force",77,-14
2022-01-01,"Buffalo",76,"Akron",88,12
2022-01-04,"Ohio",69,"Akron",63,-6
2022-01-11,"Ball St.",74,"Akron",84,10
2022-01-18,"Western Michigan",73,"Akron",74,1
2022-01-22,"Eastern Michigan",44,"Akron",46,2
2022-02-04,"Miami OH",55,"Akron",66,11
2022-02-11,"Kent St.",66,"Akron",64,-2
2022-01-11,"Auburn",81,"Alabama",77,-4
2022-01-19,"LSU",67,"Alabama",70,3
2022-01-22,"Missouri",76,"Alabama",86,10
2022-01-29,"Baylor",78,"Alabama",87,9
2022-02-05,"Kentucky",66,"Alabama",55,-11
2022-02-12,"Arkansas",67,"Alabama",68,1
2022-01-08,"Alcorn St.",78,"Alabama A&M",71,-7
2022-01-10,"Jackson St.",58,"Alabama A&M",60,2
2022-01-29,"Florida A&M",65,"Alabama A&M",60,-5
2022-01-31,"Bethune Cookman",52,"Alabama A&M",67,15
2022-02-12,"Mississippi Valley St.",92,"Alabama A&M",94,2
2022-01-08,"Jackson St.",57,"Alabama St.",72,15
2022-01-10,"Alcorn St.",70,"Alabama St.",60,-10
2022-01-15,"Alabama A&M",55,"Alabama St.",59,4
2022-01-29,"Bethune Cookman",73,"Alabama St.",79,6
2022-01-31,"Florida A&M",66,"Alabama St.",65,-1
2022-02-12,"Arkansas Pine Bluff",75,"Alabama St.",70,-5
2022-01-06,"Binghamton",88,"Albany",79,-9
2022-01-12,"UMass Lowell",47,"Albany",57,10
2022-01-15,"NJIT",56,"Albany",71,15
2022-01-22,"Stony Brook",86,"Albany",75,-11
2022-02-02,"UMBC",59,"Albany",53,-6
2022-02-09,"Maine",73,"Albany",63,-10
2022-02-12,"Vermont",76,"Albany",63,-13
2022-01-15,"Texas Southern",72,"Alcorn St.",73,1
2022-01-17,"Prairie View A&M",74,"Alcorn St.",73,-1
2022-01-29,"Southern",64,"Alcorn St.",68,4
2022-01-31,"Grambling St.",80,"Alcorn St.",73,-7
2022-02-12,"Bethune Cookman",71,"Alcorn St.",63,-8
2022-01-01,"Lehigh",63,"American",61,-2
2022-01-10,"Boston University",79,"American",53,-26
2022-01-16,"Bucknell",55,"American",63,8
2022-01-24,"Lafayette",69,"American",56,-13
2022-01-26,"Holy Cross",49,"American",67,18
2022-02-05,"Colgate",86,"American",68,-18
2022-01-01,"Louisiana Monroe",69,"Appalachian St.",77,8
2022-01-13,"Coastal Carolina",60,"Appalachian St.",61,1
2022-01-27,"Arkansas St.",54,"Appalachian St.",61,7
2022-01-29,"Little Rock",57,"Appalachian St.",72,15
2022-02-10,"Georgia Southern",61,"Appalachian St.",65,4
2022-02-12,"Georgia St.",58,"Appalachian St.",49,-9
2022-01-03,"Washington",79,"Arizona",95,16
2022-01-13,"Colorado",55,"Arizona",76,21
2022-01-15,"Utah",64,"Arizona",82,18
2022-01-29,"Arizona St.",56,"Arizona",67,11
2022-02-03,"UCLA",66,"Arizona",76,10
2022-02-05,"USC",63,"Arizona",72,9
2022-01-15,"Colorado",75,"Arizona St.",57,-18
2022-01-17,"Utah",62,"Arizona St.",64,2
2022-02-03,"USC",58,"Arizona St.",53,-5
2022-02-05,"UCLA",84,"Arizona St.",87,3
2022-02-07,"Arizona",91,"Arizona St.",79,-12
2022-01-04,"Vanderbilt",75,"Arkansas",74,-1
2022-01-12,"Missouri",43,"Arkansas",87,44
2022-01-18,"South Carolina",59,"Arkansas",75,16
2022-01-22,"Texas A&M",73,"Arkansas",76,3
2022-01-29,"West Virginia",68,"Arkansas",77,9
2022-02-05,"Mississippi St.",55,"Arkansas",63,8
2022-02-08,"Auburn",76,"Arkansas",80,4
2022-01-03,"Alabama A&M",70,"Arkansas Pine Bluff",50,-20
2022-01-05,"Alabama St.",68,"Arkansas Pine Bluff",70,2
2022-01-15,"Florida A&M",71,"Arkansas Pine Bluff",66,-5
2022-01-17,"Bethune Cookman",63,"Arkansas Pine Bluff",69,6
2022-02-05,"Alcorn St.",70,"Arkansas Pine Bluff",64,-6
2022-02-07,"Jackson St.",60,"Arkansas Pine Bluff",47,-13
2022-01-01,"Georgia Southern",56,"Arkansas St.",74,18
2022-01-20,"UT Arlington",70,"Arkansas St.",75,5
2022-01-22,"Texas St.",60,"Arkansas St.",67,7
2022-02-03,"Louisiana Monroe",60,"Arkansas St.",59,-1
2022-02-05,"Louisiana",58,"Arkansas St.",67,9
2022-01-01,"Loyola MD",74,"Army",77,3
2022-01-07,"Lehigh",55,"Army",77,22
2022-01-13,"Boston University",63,"Army",73,10
2022-01-19,"American",66,"Army",76,10
2022-01-29,"Lafayette",56,"Army",60,4
2022-02-05,"Holy Cross",69,"Army",65,-4
2022-02-12,"Navy",52,"Army",49,-3
2022-01-08,"Florida",73,"Auburn",85,12
2022-01-19,"Georgia",60,"Auburn",83,23
2022-01-22,"Kentucky",71,"Auburn",80,9
2022-01-29,"Oklahoma",68,"Auburn",86,18
2022-02-01,"Alabama",81,"Auburn",100,19
2022-02-12,"Texas A&M",58,"Auburn",75,17
2022-01-08,"Morehead St.",66,"Austin Peay",55,-11
2022-01-27,"Belmont",75,"Austin Peay",67,-8
2022-01-31,"SIU Edwardsville",63,"Austin Peay",68,5
2022-02-03,"Murray St.",65,"Austin Peay",53,-12
2022-02-10,"Southeast Missouri St.",66,"Austin Peay",74,8
2022-02-12,"Tennessee St.",52,"Austin Peay",54,2
2022-01-01,"Bowling Green",80,"Ball St.",81,1
2022-01-04,"Kent St.",66,"Ball St.",65,-1
2022-01-14,"Buffalo",74,"Ball St.",68,-6
2022-01-25,"Miami OH",64,"Ball St.",81,17
2022-01-29,"Western Michigan",72,"Ball St.",83,11
2022-02-04,"Toledo",83,"Ball St.",93,10
2022-02-08,"Central Michigan",89,"Ball St.",85,-4
2022-01-04,"Oklahoma",74,"Baylor",84,10
2022-01-11,"Texas Tech",65,"Baylor",62,-3
2022-01-15,"Oklahoma St.",61,"Baylor",54,-7
2022-01-25,"Kansas St.",49,"Baylor",74,25
2022-01-31,"West Virginia",77,"Baylor",81,4
2022-02-12,"Texas",63,"Baylor",80,17
2022-01-08,"Eastern Kentucky",61,"Bellarmine",66,5
2022-01-11,"Central Arkansas",63,"Bellarmine",85,22
2022-01-18,"North Alabama",60,"Bellarmine",68,8
2022-01-22,"Jacksonville",73,"Bellarmine",76,3
2022-02-03,"Liberty",66,"Bellarmine",53,-13
2022-02-05,"Kennesaw St.",75,"Bellarmine",70,-5
2022-01-06,"Southeast Missouri St.",62,"Belmont",102,40
2022-01-13,"Tennessee Tech",77,"Belmont",92,15
2022-01-15,"Murray St.",82,"Belmont",60,-22
2022-01-29,"Tennessee Martin",58,"Belmont",87,29
2022-02-07,"Austin Peay",58,"Belmont",72,14
2022-02-10,"Morehead St.",47,"Belmont",48,1
2022-01-03,"Florida A&M",59,"Bethune Cookman",66,7
2022-01-08,"Grambling St.",68,"Bethune Cookman",66,-2
2022-01-10,"Southern",69,"Bethune Cookman",59,-10
2022-01-22,"Jackson St.",50,"Bethune Cookman",55,5
2022-01-24,"Alcorn St.",70,"Bethune Cookman",67,-3
2022-02-05,"Prairie View A&M",67,"Bethune Cookman",68,1
2022-02-07,"Texas Southern",66,"Bethune Cookman",63,-3
2022-01-02,"UMass Lowell",63,"Binghamton",68,5
2022-01-08,"NJIT",67,"Binghamton",56,-11
2022-01-19,"Stony Brook",74,"Binghamton",71,-3
2022-01-24,"Hartford",64,"Binghamton",74,10
2022-01-29,"UMBC",70,"Binghamton",68,-2
2022-02-05,"Maine",60,"Binghamton",69,9
2022-02-12,"New Hampshire",69,"Binghamton",60,-9
2022-01-18,"Air Force",56,"Boise St.",62,6
2022-01-25,"Wyoming",62,"Boise St.",65,3
2022-02-05,"San Jose St.",60,"Boise St.",76,16
2022-02-11,"UNLV",63,"Boise St.",69,6
2022-01-02,"North Carolina",91,"Boston College",65,-26
2022-01-12,"Georgia Tech",81,"Boston College",76,-5
2022-01-22,"Virginia Tech",63,"Boston College",68,5
2022-01-30,"Pittsburgh",56,"Boston College",69,13
2022-02-08,"Syracuse",73,"Boston College",64,-9
2022-02-12,"Duke",72,"Boston College",61,-11
2022-01-01,"Bucknell",61,"Boston University",63,2
2022-01-07,"Loyola MD",66,"Boston University",58,-8
2022-01-16,"Navy",72,"Boston University",65,-7
