date,home,score1,vis,score2,location,score_diff,home_conference,vis_conference
2021-11-09,Utah,70,Abilene Christian,56,Utah,14,Pacific-12,Western Athletic
2021-11-09,Ohio St.,67,Akron,66,Ohio St.,1,Big Ten,Mid-American
2021-11-09,Western Kentucky,79,Alabama St.,74,Western Kentucky,5,Conference USA,Southwest Athletic
2021-11-09,Washington St.,85,Alcorn St.,67,Washington St.,18,Pacific-12,Southwest Athletic
2021-11-09,Iona,65,Appalachian St.,53,Iona,12,Metro Atlantic Athletic,Sun Belt
2021-11-09,Creighton,90,Arkansas Pine Bluff,77,Creighton,13,Big East,Southwest Athletic
2021-11-09,Georgia Southern,82,Ball St.,71,Georgia Southern,11,Sun Belt,Mid-American
2021-11-09,Purdue,96,Bellarmine,67,Purdue,29,Big Ten,Atlantic Sun
2021-11-09,Ohio,92,Belmont,80,Ohio,12,Mid-American,Ohio Valley
2021-11-09,Southern Utah,116,Bethesda,74,Southern Utah,42,Big Sky,Pacific Christian Athletic
2021-11-09,South Florida,75,Bethune Cookman,54,South Florida,21,American Athletic,Southwest Athletic
2021-11-09,Lipscomb,105,Birmingham Southern,98,Lipscomb,7,Atlantic Sun,NA
2021-11-09,Lipscomb,105,Birmingham Southern,98,Lipscomb,7,Atlantic Sun,NA
2021-11-09,Wofford,117,Bob Jones,79,Wofford,38,Southern,NA
2021-11-09,Rhode Island,71,Boston University,62,Rhode Island,9,Atlantic 10,Patriot League
2021-11-09,Western Carolina,79,Bowling Green,71,Western Carolina,8,Southern,Mid-American
2021-11-09,South Dakota St.,81,Bradley,65,South Dakota St.,16,Summit League,Missouri Valley
2021-11-09,Middle Tennessee,98,Brescia,59,Middle Tennessee,39,Conference USA,NA
2021-11-09,Georgia St.,97,Brewton Parker,37,Georgia St.,60,Sun Belt,NA
2021-11-09,Norfolk St.,79,Bridgewater VA,56,Norfolk St.,23,Mid-Eastern Athletic,NA
2021-11-09,N.C. State,88,Bucknell,70,N.C. State,18,Big Sky,Patriot League
2021-11-09,Delaware St.,80,Cairn,41,Delaware St.,39,Mid-Eastern Athletic,NA
2021-11-09,UCLA,95,Cal St. Bakersfield,58,UCLA,37,Pacific-12,Big West
2021-11-09,Santa Clara,84,Cal St. Fullerton,77,Santa Clara,7,West Coast,Big West
2021-11-09,USC,89,Cal St. Northridge,49,USC,40,Pacific-12,Big West
2021-11-09,Miami FL,77,Canisius,67,Miami FL,10,Atlantic Coast,Metro Atlantic Athletic
2021-11-09,VMI,111,Carlow,55,VMI,56,Southern,NA
2021-11-09,Troy,104,Carver,42,Troy,62,Sun Belt,NA
2021-11-09,Saint Louis,96,Central Arkansas,61,Saint Louis,35,Atlantic 10,Atlantic Sun
2021-11-09,Connecticut,99,Central Connecticut,48,Connecticut,51,Big East,Northeast
2021-11-09,Missouri,78,Central Michigan,68,Missouri,10,Southeastern,Mid-American
2021-11-09,Loyola Marymount,64,Chattanooga,75,Loyola Marymount,-11,West Coast,Southern
2021-11-09,BYU,69,Cleveland St.,59,BYU,10,West Coast,Horizon League
2021-11-09,Drake,87,Coe,61,Drake,26,Missouri Valley,NA
2021-11-09,Fordham,77,Columbia,67,Fordham,10,Atlantic 10,Ivy League
2021-11-09,North Dakota St.,88,Concordia College MN,44,North Dakota St.,44,Summit League,NA
2021-11-09,Loyola Chicago,103,Coppin St.,45,Loyola Chicago,58,Missouri Valley,Mid-Eastern Athletic
2021-11-09,Binghamton,69,Cornell,76,Binghamton,-7,America East,Ivy League
2021-11-09,Murray St.,109,Cumberland,77,Murray St.,32,Ohio Valley,NA
2021-11-09,Boston College,73,Dartmouth,57,Boston College,16,Atlantic Coast,Ivy League
2021-11-09,Davidson,93,Delaware,71,Davidson,22,Atlantic 10,Colonial Athletic Association
2021-11-09,Montana,74,Dickinson St.,27,Montana,47,Big Sky,NA
2021-11-09,Howard,87,District of Columbia,59,Howard,28,Mid-Eastern Athletic,NA
2021-11-09,Gonzaga,97,Dixie St.,63,Gonzaga,34,West Coast,Western Athletic
2021-11-09,Purdue Fort Wayne,103,Earlham,54,Purdue Fort Wayne,49,Horizon League,NA
2021-11-09,Northwestern,80,Eastern Illinois,56,Northwestern,24,Big Ten,Ohio Valley
