ID,tournament
Gonzaga,1
Arizona,1
Kansas,1
Baylor,1
Kentucky,1
Auburn,1
Tennessee,1
Houston,1
Texas Tech,1
UCLA,1
Villanova,1
Iowa,1
Duke,1
Purdue,1
LSU,1
Texas,1
Saint Mary's,1
Connecticut,1
Illinois,1
Arkansas,1
San Diego St.,1
Loyola Chicago,1
San Francisco,1
Wisconsin,1
Virginia Tech,1
Alabama,1
Colorado St.,1
Ohio St.,1
Murray St.,1
Boise St.,1
Michigan,1
USC,1
North Carolina,1
Iowa St.,1
Providence,1
Memphis,1
Davidson,1
TCU,1
Michigan St.,1
Seton Hall,1
Creighton,1
Miami FL,1
UAB,1
Marquette,1
Vermont,1
Indiana,1
Notre Dame,1
South Dakota St.,1
Chattanooga,1
Wyoming,1
Richmond,1
New Mexico St.,1
Rutgers,1
Colgate,1
Jacksonville St.,1
Montana St.,1
Akron,1
Saint Peter's,1
Longwood,1
Delaware,1
Cal St. Fullerton,1
Yale,1
Georgia St.,1
Norfolk St.,1
Texas Southern,1
Wright St.,1
Bryant,1
Texas A&M Corpus Chris,1
